Afghanistan,Hibatullah Akhundzada,Hasan Akhund
Poland,Karol Nawrocki,Donald Tusk
Portugal,António José Seguro,Luís Montenegro
Portugal,Antonio Jose Seguro,Luis Montenegro
Qatar,Tamim bin Hamad Al Thani,Mohammed bin Abdulrahman Al Thani
Republic of the Congo,Denis Sassou Nguesso,Anatole Collinet Makosso
Romania,Nicușor Dan,Ilie Bolojan
Romania,Nicusor Dan,Ilie Bolojan
Russia,Vladimir Putin,Mikhail Mishustin
Rwanda,Paul Kagame,Justin Nsengiyumva
Saint Kitts and Nevis,Charles III,Terrance Drew
Saint Lucia,Charles III,Philip J. Pierre
Saint Vincent and the Grenadines,Charles III,Godwin Friday
Samoa,Tuimalealiʻifano Vaʻaletoʻa Sualauvi II,Laʻauli Leuatea Schmidt
Samoa,Tuimalealiifano Vaaletoa Sualauvi II,Laauli Leuatea Schmidt
San Marino,Alice Mina,Luca Beccari
Sao Tome and Principe,Carlos Vila Nova,Américo Ramos
Sao Tome and Principe,Carlos Vila Nova,Americo Ramos
Saudi Arabia,Salman,Mohammed bin Salman
Senegal,Bassirou Diomaye Faye,Ousmane Sonko
Serbia,Aleksandar Vučić,Đuro Macut
Serbia,Aleksandar Vucic,Duro Macut
Seychelles,Patrick Herminie,Patrick Herminie
Sierra Leone,Julius Maada Bio,Julius Maada Bio
Singapore,Tharman Shanmugaratnam,Lawrence Wong
Slovakia,Peter Pellegrini,Robert Fico
Slovenia,Nataša Pirc Musar,Robert Golob
Slovenia,Natasa Pirc Musar,Robert Golob
Solomon Islands,Charles III,Matthew Wale
Somalia,Hassan Sheikh Mohamud,Hamza Abdi Barre
South Africa,Cyril Ramaphosa,Cyril Ramaphosa
South Korea,Lee Jae Myung,Kim Min-seok
South Sudan,Salva Kiir Mayardit,Salva Kiir Mayardit
Spain,Felipe VI,Pedro Sánchez
Spain,Felipe VI,Pedro Sanchez
Sri Lanka,Anura Kumara Dissanayake,Anura Kumara Dissanayake
Sudan,Abdel Fattah al-Burhan,Kamil Idris
Suriname,Jennifer Geerlings-Simons,Jennifer Geerlings-Simons
Sweden,Carl XVI Gustaf,Ulf Kristersson
Switzerland,Guy Parmelin,Guy Parmelin
Syria,Ahmed al-Sharaa,Ahmed al-Sharaa
Tajikistan,Emomali Rahmon,Kokhir Rasulzoda
Tanzania,Samia Suluhu Hassan,Samia Suluhu Hassan
Thailand,Vajiralongkorn,Anutin Charnvirakul
Togo,Jean-Lucien Savi de Tové,Faure Gnassingbé
Togo,Jean-Lucien Savi de Tove,Faure Gnassingbe
Tonga,Tupou VI,Fatafehi Fakafānua
Tonga,Tupou VI,Fatafehi Fakafanua
Trinidad and Tobago,Christine Kangaloo,Kamla Persad-Bissessar
Tunisia,Kaïs Saïed,Sara Zaafarani
Tunisia,Kais Saied,Sara Zaafarani
Turkey,Recep Tayyip Erdoğan,Recep Tayyip Erdoğan
Turkey,Recep Tayyip Erdogan,Recep Tayyip Erdogan
Turkmenistan,Serdar Berdimuhamedow,Serdar Berdimuhamedow
Tuvalu,Charles III,Feleti Teo
Uganda,Yoweri Museveni,Robinah Nabbanja
Ukraine,Volodymyr Zelenskyy,Denys Shmyhal
United Arab Emirates,Mohammed bin Zayed Al Nahyan,Mohammed bin Rashid Al Maktoum
United Kingdom,Charles III,Keir Starmer
United States,Donald Trump,Donald Trump
Uruguay,Luis Lacalle Pou,Luis Lacalle Pou
Uzbekistan,Shavkat Mirziyoyev,Abdulla Aripov
Vanuatu,Nikenike Vurobaravu,Charlot Salwai
Vatican City,Leo,Leo
Venezuela,Delcy Rodríguez,Delcy Rodríguez
Venezuela,Delcy Rodriguez,Delcy Rodriguez
Vietnam,Lương Cường,Phạm Minh Chính
Vietnam,Luong Cuong,Pham Minh Chinh
Yemen,Rashad al-Alimi,Maeen Abdulmalik Saeed
Zambia,Hakainde Hichilema,Hakainde Hichilema
Zimbabwe,Emmerson Mnangagwa,Emmerson Mnangagwa
