category,word,source
afinn_negative,deficient,afinn_vader_manual
afinn_negative,deficit,afinn_vader_manual
afinn_negative,deformed,afinn_vader_manual
afinn_negative,deformities,afinn_vader_manual
afinn_negative,deformity,afinn_vader_manual
afinn_negative,defunct,afinn_vader_manual
afinn_negative,degrade,afinn_vader_manual
afinn_negative,degraded,afinn_vader_manual
afinn_negative,degrades,afinn_vader_manual
afinn_negative,dehumanize,afinn_vader_manual
afinn_negative,dehumanized,afinn_vader_manual
afinn_negative,dehumanizes,afinn_vader_manual
afinn_negative,dehumanizing,afinn_vader_manual
afinn_negative,deject,afinn_vader_manual
afinn_negative,dejected,afinn_vader_manual
afinn_negative,dejecting,afinn_vader_manual
afinn_negative,dejects,afinn_vader_manual
afinn_negative,delay,afinn_vader_manual
afinn_negative,delayed,afinn_vader_manual
afinn_negative,demand,afinn_vader_manual
afinn_negative,demanded,afinn_vader_manual
afinn_negative,demanding,afinn_vader_manual
afinn_negative,demands,afinn_vader_manual
afinn_negative,demonstration,afinn_vader_manual
afinn_negative,demoralize,afinn_vader_manual
afinn_negative,demoralized,afinn_vader_manual
afinn_negative,demoralizes,afinn_vader_manual
afinn_negative,demoralizing,afinn_vader_manual
afinn_negative,denial,afinn_vader_manual
afinn_negative,denials,afinn_vader_manual
afinn_negative,denied,afinn_vader_manual
afinn_negative,denier,afinn_vader_manual
afinn_negative,deniers,afinn_vader_manual
afinn_negative,denies,afinn_vader_manual
afinn_negative,denounce,afinn_vader_manual
afinn_negative,denounces,afinn_vader_manual
afinn_negative,dent,afinn_vader_manual
afinn_negative,deny,afinn_vader_manual
afinn_negative,denying,afinn_vader_manual
afinn_negative,deport,afinn_vader_manual
afinn_negative,deportation,afinn_vader_manual
afinn_negative,deportations,afinn_vader_manual
afinn_negative,deported,afinn_vader_manual
afinn_negative,deporting,afinn_vader_manual
afinn_negative,deports,afinn_vader_manual
afinn_negative,depressed,afinn_vader_manual
afinn_negative,depressing,afinn_vader_manual
afinn_negative,derail,afinn_vader_manual
afinn_negative,derailed,afinn_vader_manual
afinn_negative,derails,afinn_vader_manual
afinn_negative,derelict,afinn_vader_manual
afinn_negative,deride,afinn_vader_manual
afinn_negative,derided,afinn_vader_manual
afinn_negative,derides,afinn_vader_manual
afinn_negative,deriding,afinn_vader_manual
afinn_negative,derision,afinn_vader_manual
afinn_negative,detached,afinn_vader_manual
afinn_negative,detain,afinn_vader_manual
afinn_negative,detained,afinn_vader_manual
afinn_negative,detention,afinn_vader_manual
afinn_negative,deteriorate,afinn_vader_manual
afinn_negative,deteriorated,afinn_vader_manual
afinn_negative,deteriorates,afinn_vader_manual
afinn_negative,deteriorating,afinn_vader_manual
afinn_negative,deterrent,afinn_vader_manual
afinn_negative,detract,afinn_vader_manual
afinn_negative,detracted,afinn_vader_manual
afinn_negative,detracts,afinn_vader_manual
afinn_negative,devastate,afinn_vader_manual
afinn_negative,devastated,afinn_vader_manual
afinn_negative,devastating,afinn_vader_manual
afinn_negative,devastation,afinn_vader_manual
afinn_negative,devastations,afinn_vader_manual
afinn_negative,difficult,afinn_vader_manual
afinn_negative,diffident,afinn_vader_manual
afinn_negative,dilemma,afinn_vader_manual
afinn_negative,dirt,afinn_vader_manual
afinn_negative,dirtier,afinn_vader_manual
afinn_negative,dirtiest,afinn_vader_manual
afinn_negative,dirty,afinn_vader_manual
afinn_negative,disabilities,afinn_vader_manual
afinn_negative,disability,afinn_vader_manual
afinn_negative,disabling,afinn_vader_manual
afinn_negative,disadvantage,afinn_vader_manual
afinn_negative,disadvantaged,afinn_vader_manual
afinn_negative,disagree,afinn_vader_manual
afinn_negative,disagreeable,afinn_vader_manual
afinn_negative,disagreement,afinn_vader_manual
